Amount_paid,Currency_Code,period_name,Employee_id,Employee_name,Position_name
961.19642,USD,JAN-2025,,,
906.15967,USD,JAN-2025,,,
-318094.93131,PHP,JAN-2025,,,
87.00234,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
3.53351,EUR,JAN-2025,,,
-98.71222,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
61.67565,EUR,JAN-2025,,,
1043.21922,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
5056.71758,USD,JAN-2025,,,
6260.35612,JPY,JAN-2025,,,
27400.1625,INR,JAN-2025,,,
0,INR,JAN-2025,,,
-1717.4285,GBP,JAN-2025,,,
-6874.84639,CNY,JAN-2025,,,
8856.85889,JPY,JAN-2025,,,
0,JPY,JAN-2025,,,
51254.60267,JPY,JAN-2025,,,
174487.66999,JPY,JAN-2025,,,
79147.72167,JPY,JAN-2025,,,
72528.16076,JPY,JAN-2025,,,
4202.41361,RON,JAN-2025,,,
-11143.62971,RON,JAN-2025,,,
-673.80651,EUR,JAN-2025,,,
-40727181.94583,COP,JAN-2025,,,
-8.100110023093378604697510551650825,ILS,JAN-2025,,,
2612106.92742,COP,JAN-2025,,,
7888.91354,COP,JAN-2025,,,
-2619995.84096,COP,JAN-2025,,,
118040.87514,COP,JAN-2025,,,
192066.50871,COP,JAN-2025,,,
-310107.38385,COP,JAN-2025,,,
-2490575.37229,COP,JAN-2025,,,
19199.50392,CLP,JAN-2025,,,
3350.40661,BRL,JAN-2025,,,
0,BRL,JAN-2025,,,
-4694.02766,BRL,JAN-2025,,,
357.35364,EUR,JAN-2025,,,
-408.82699,EUR,JAN-2025,,,
2139.3593,USD,JAN-2025,,,
3633.5908,USD,JAN-2025,,,
12151.98287,INR,JAN-2025,,,
-12151.98287,INR,JAN-2025,,,
836.25003,CNY,JAN-2025,,,
-7338.56146,CNY,JAN-2025,,,
10422.90685,CNY,JAN-2025,,,
-10966.09919,CNY,JAN-2025,,,
592.79338,CNY,JAN-2025,,,
-11967.45721,CNY,JAN-2025,,,
960.85146,CNY,JAN-2025,,,
61044.80767,JPY,JAN-2025,,,
1016.32642,USD,JAN-2025,,,
-1507.15579,USD,JAN-2025,,,
720.93979,CAD,JAN-2025,,,
2174.02515,CAD,JAN-2025,,,
4259.85073,CAD,JAN-2025,,,
-52.34959,MYR,JAN-2025,,,
0,USD,JAN-2025,,,
-80921.64574,INR,JAN-2025,,,
14021.36994,INR,JAN-2025,,,
26034.57011,INR,JAN-2025,,,
30.11044,AUD,JAN-2025,,,
164.07792,AUD,JAN-2025,,,
-225.60714,AUD,JAN-2025,,,
506.63913,MYR,JAN-2025,,,
0,MYR,JAN-2025,,,
-492340.84357,CLP,JAN-2025,,,
-67120.50662102166880350240193837444,CLP,JAN-2025,,,
2010.61018,CAD,JAN-2025,,,
148.12936,GBP,JAN-2025,,,
317.85641,GBP,JAN-2025,,,
205.89528,EUR,JAN-2025,,,
222.50172,EUR,JAN-2025,,,
-428.397,EUR,JAN-2025,,,
0,AUD,JAN-2025,,,
0,AUD,JAN-2025,,,
