name,title,earning_group,category,sub_category
,CFS-SR,Bonus,WH,Others
,CFS-SR,CHS Team Performance,WH,Others
,CFS-SR,Commission Adjustment,WH,Others
,CFS-SR,Goal,WH,Points Goal
,CFS-SR,Growth Commission,WH,Others
,CFS-SR,Guarantee Extended,WH,Others
,CFS-SR,MBO,WH,Others
,CFS-SR,Volume Retention,WH,Volume Retention
,CGS,Above Goal,WH,Points Goal
,CGS,Above Goal Volume Retention,WH,Volume Retention
,CGS,Access Milestone,WH,Others
,CGS,Bonus,WH,Others
,CGS,CHS Team Performance,WH,Others
,CGS,Commission Adjustment,WH,Others
,CGS,Goal,WH,Points Goal
,CGS,Growth Commission,WH,Others
,CGS,Guarantee Extended,WH,Others
,CGS,MBO,WH,Others
,CGS,Volume Retention,WH,Volume Retention
,DM_WH,Above Goal,WH,Points Goal
,DM_WH,Above Goal Volume Retention,WH,Volume Retention
,DM_WH,Access Milestone,WH,Others
,DM_WH,Bonus,WH,Others
,DM_WH,CHS Team Performance,WH,Others
,DM_WH,Commission Adjustment,WH,Others
,DM_WH,Goal,WH,Points Goal
,DM_WH,Growth Commission,WH,Others
,DM_WH,Guarantee Extended,WH,Others
,DM_WH,MBO,WH,Others
,DM_WH,Volume Retention,WH,Volume Retention
,H-SAM,Above Goal,WH,Points Goal
,H-SAM,Above Goal Volume Retention,WH,Volume Retention
,H-SAM,Access Milestone,WH,Others
,H-SAM,Bonus,WH,Others
,H-SAM,CHS Team Performance,WH,Others
,H-SAM,Commission Adjustment,WH,Others
,H-SAM,Goal,WH,Points Goal
,H-SAM,Growth Commission,WH,Others
,H-SAM,Guarantee Extended,WH,Others
,H-SAM,MBO,WH,Others
,H-SAM,Volume Retention,WH,Volume Retention
,IVF,Above Goal,WH,Points Goal
,IVF,Above Goal Volume Retention,WH,Volume Retention
,IVF,Access Milestone,WH,Others
,IVF,Bonus,WH,Others
,IVF,CHS Team Performance,WH,Others
,IVF,Commission Adjustment,WH,Others
,IVF,Goal,WH,Points Goal
,IVF,Growth Commission,WH,Others
,RD-OS,Bonus,ONC,Others
,RD-OS,CHS Team Performance,ONC,Others
,RD-OS,Commission Adjustment,ONC,Others
,RD-OS,Follow On Points,ONC,Follow On Patients
,RD-OS,Growth Commission,ONC,Others
,RD-OS,Guarantee Extended,ONC,Others
,RD-OS,Initial Patients Points,ONC,Initial Patients
,RD-OS,MBO,ONC,Others
,RD-OS,Patient Retention,ONC,Others
,RD-OS-SR,Above Goal Empower,ONC,Others
,RD-OS-SR,Above Goal Follow On Points,ONC,Follow On Patients
,RD-OS-SR,Above Goal Initial Patients Points,ONC,Initial Patients
,RD-OS-SR,Access Milestone,ONC,Others
,RD-OS-SR,Bonus,ONC,Others
,RD-OS-SR,CHS Team Performance,ONC,Others
,RD-OS-SR,Commission Adjustment,ONC,Others
,RD-OS-SR,Follow On Points,ONC,Follow On Patients
,RD-OS-SR,Growth Commission,ONC,Others
,RD-OS-SR,Guarantee Extended,ONC,Others
,RD-OS-SR,Initial Patients Points,ONC,Initial Patients
,RD-OS-SR,MBO,ONC,Others
,RD-OS-SR,Patient Retention,ONC,Others
,RD-OS_ONC,Above Goal Empower,ONC,Others
,RD-OS_ONC,Above Goal Follow On Points,ONC,Follow On Patients
,RD-OS_ONC,Above Goal Initial Patients Points,ONC,Initial Patients
,RD-OS_ONC,Access Milestone,ONC,Others
,RD-OS_ONC,Bonus,ONC,Others
,RD-OS_ONC,CHS Team Performance,ONC,Others
,RD-OS_ONC,Commission Adjustment,ONC,Others
,RD-OS_ONC,Follow On Points,ONC,Follow On Patients
,RD-OS_ONC,Growth Commission,ONC,Others
,RD-OS_ONC,Guarantee Extended,ONC,Others
,AD-OS_ONC_SPECIALTY,Above Goal Empower,ONC,Others
,AD-OS_ONC_SPECIALTY,Above Goal Follow On Points,ONC,Follow On Patients
,AD-OS_ONC_SPECIALTY,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-OS_ONC_SPECIALTY,Access Milestone,ONC,Others
,AD-OS_ONC_SPECIALTY,Bonus,ONC,Others
,AD-OS_ONC_SPECIALTY,CHS Team Performance,ONC,Others
,AD-OS_ONC_SPECIALTY,Commission Adjustment,ONC,Others
